norm.name	RBN011364-002.horizon.GI50_nm	RBN011595-001.horizon.GI50_nm	RBN011628-001.horizon.GI50_nm	RBN011364-002.horizon.IC50_nm	RBN011595-001.horizon.IC50_nm	RBN011628-001.horizon.IC50_nm	RBN011364-002.horizon.Delta.1um	RBN011595-001.horizon.Delta.1um	RBN011628-001.horizon.Delta.1um	RBN011364-002.horizon.EMax.1um.fixed	RBN011595-001.horizon.EMax.1um.fixed	RBN011628-001.horizon.EMax.1um.fixed	Response.group
A253	10000	5266.13958481825	10000	5.90049269644134	10000	0.359369817744091	15.7023326213888	18.5010867963921	24.0865727518081	74.5046998866005	71.667905149422	69.8444526145087	Responder
A549	10000	10000	2933.08263383957	10000	1112.74548678164	2907.69895289659	0	2.03571507693366	3.62877226223191e-06	100	90.1530314758821	92.4713241619673	Nonresponder
ACHN	1149.84354160372	858.001070078277	10000	1465.83990213982	1080.08879126639	4.3845717903114	38.5004480760233	52.1372237232664	24.3350325305241	56.4298991035095	42.7525457339043	74.4292312169638	Responder
BHY	10000	10000	10000	5.92115307019864	33.1044940647989	1.48593970060086	28.6623591852625	36.1635358036866	34.6655747657212	64.2949405828769	62.3789910611551	63.6052160937344	Responder
CAKI1	93.566646976597	262.151227559206	11.9809274638036	138.849788434709	358.99649292107	2.98464583778411	99.4160908884832	88.8129271557141	46.244426369385	-4.09829768962514	6.03639523907691	48.2511138141087	Responder
CAL27	8.69599598906053	26.7514147085358	1.18024247427687	9.72186479234261	33.9114089334613	1.07004895343697	74.9208353535509	71.636272542328	69.9430668585757	11.632592163486	9.99745302849675	17.2785859336393	Responder
CAL33	10000	10000	10000	4.20401505644731	63.4657578351949	1.74033444868953	21.8524231114622	25.5679729977776	28.6547064142411	91.8729550102103	86.2564646139874	84.1425827156126	Responder
CALU1	10000	506.188612210384	10000	3.97223499002465	10000	1.19839141766395	34.4081136585105	54.5679474589155	45.907208266926	62.8411121882748	41.6412547647859	52.8050944560024	Responder
CCK81	1649.41888393346	3380.56497314053	887.289960759144	6023.1940250875	3068.20548701309	1087.49763971921	39.739636417199	0.0149926722918821	55.8591546713164	60.6408015353848	99.7628403494511	44.3270716634097	Nonresponder
CL11	10000	10000	10000	7430.44259586509	867.574997526724	1218.96019105099	1.35789242108331e-05	20.2753563108869	12.6022926785875	106.613234792905	93.1311946911952	95.0504361512392	Responder
COLO680N	21.0663494789961	64.2492560104217	2.76745515291496	16.5316778729549	34.4214249591281	0.836706047974241	71.5097211303721	60.0179328352981	45.4411882517705	19.3065300398544	30.1797473753571	42.2389692505563	Responder
DBTRG05MG	10000	10000	3512.56610178756	10000	10000	10000	10.3429345817684	8.22759461694524	21.0541593151096	86.3933482656228	88.0873853527729	72.868333112554	Nonresponder
DETROIT562	4257.46166172801	5929.41126142355	927.969804516455	6715.67169547583	6299.45706907082	3360.72251870843	2.28159042812291	0.0306178572992195	43.7709115573928	86.5163827538706	89.6435630994714	48.1971305526308	Nonresponder
EBC1	7.89410885322839	32.2149948038198	0.515371940334103	25.2053002471012	98.2254553462187	1.74077041717442	91.6241569157449	81.8140645716862	86.0195559828888	-18.1338472032935	-9.43921200948765	-11.0607025983013	Responder
EFE184	26.4670412191679	136.462777734034	2.54677825307342	22.2945997173339	139.424964705589	0.884225648357206	135.159848701815	112.787535627318	114.473493130977	-10.0145624374003	5.17725255125404	17.852067072159	Responder
EFO27	10000	4147.75055397474	2056.99866215848	10000	3162.80233336135	10000	25.3783496369431	0.00903426993816936	32.7028819324575	73.4163746372849	90.9917834825294	61.9201042019874	Nonresponder
EN	611.613737163883	1360.95791558261	1431.20668416447	10000	10000	10000	50.5617896914911	38.6863915887292	47.2096408059944	42.9555005222546	54.3342343711021	52.2295653304793	Nonresponder
EVSAT	10000	10000	543.250497893855	10000	3565.90642665102	797.477314421868	8.8239021159892	0.00202456643698667	60.9367591907592	83.7025093430889	95.9478081846814	31.0390735398173	Nonresponder
FADU	725.281208394518	873.551976314209	307.67166952605	53.8921723411457	10000	3.68843818518353	25.9830066288346	28.6886417309016	27.7306893815911	49.4430021325867	48.3171413782558	48.7209872703653	Nonresponder
GSS	663.767220958421	3753.61525681782	353.455123756607	602.165335243806	956.894161210626	556.73005179424	34.7683528664438	19.248969088024	77.3113053899534	44.9852333269839	59.9728327903625	1.06901972489163	Responder
GSU	78.7863959844535	54.589449759047	1.58757181563701	618.740382667012	15.7630859036055	0.46455824659602	67.5846192833482	56.1754266152976	43.458550521907	24.175939447065	37.7948563330332	44.6643544753818	Responder
HARA	8941.43021775027	10000	1240.73861569801	7661.83639749	10000	1009.46904800498	0.0521976979461414	2.26863960506307e-07	40.813730769294	100.451032169009	101.332727983593	62.2419397844883	Nonresponder
HCC1143	8824.33764405551	9056.06213536226	2784.22960385715	10000	6941.36895409101	10000	10.3063504055353	5.16911926916693	29.9841251393829	87.0724492122622	97.7494838687774	73.9985052001645	Nonresponder
HCC1187	203.823627470671	749.544243734672	97.8931306202714	650.68792967042	10000	10000	62.3787617918446	36.7745917951385	65.3493115985893	23.3000600374864	46.0722357261772	22.4729596102308	Responder
HCC1195	320.191059398834	388.58774265252	27.8593891503467	494.554352550041	1299.16056705545	33.2353176346382	82.3572999210619	68.2253896880678	102.821916595418	27.2280666614715	32.0651365160064	9.99265999066314	Responder
HCC15	3539.5145493799	4550.06539660858	1148.17110384927	10000	4020.734088388	1026.89262498063	15.2463060160211	9.17686498962098	37.4897421063527	74.3275382903476	80.9279508208501	53.0002659013897	Nonresponder
