cell.line	compound	variable	value
OV56	RBN011364-002	Delta.1um	0.155989898452447
HSC-4	RBN010061-002	Delta.1um	0.00191126757881932
HSC-4	RBN011364-002	Delta.1um	11.3003996957618
CL-11	RBN010061-002	Delta.1um	50.6760977186563
CL-11	RBN011364-002	Delta.1um	1.35789242108331e-05
SW480	RBN010061-002	Delta.1um	0.000705995210751098
SW480	RBN011364-002	Delta.1um	6.65182710690715e-07
NCI-H2170	RBN010061-002	Delta.1um	7.36951147759737
NCI-H2170	RBN011364-002	Delta.1um	11.640001929123
TE-6	RBN010061-002	Delta.1um	2.66221073275119e-06
TE-6	RBN011364-002	Delta.1um	27.6633253043986
HCC95	RBN010061-002	Delta.1um	8.7252715275099e-07
HCC95	RBN011364-002	Delta.1um	55.0049253819148
MDA-MB-175-VII	RBN010061-002	Delta.1um	11.9319986230719
MDA-MB-175-VII	RBN011364-002	Delta.1um	1.24192273136434
NCI-H522	RBN010061-002	Delta.1um	8.76417463406584
NCI-H522	RBN011364-002	Delta.1um	1.34915875160755
HCC2108	RBN010061-002	Delta.1um	44.4441995362281
HCC2108	RBN011364-002	Delta.1um	20.5755615628236
TE-10	RBN010061-002	Delta.1um	3.65580335579469
TE-10	RBN011364-002	Delta.1um	13.785207415876
ZR-75-30	RBN010061-002	Delta.1um	0
ZR-75-30	RBN011364-002	Delta.1um	17.5114739084041
GSU	RBN010061-002	Delta.1um	6.89318252966586e-06
GSU	RBN011364-002	Delta.1um	67.5846192833482
KYSE-410	RBN010061-002	Delta.1um	4.60865808172326
KYSE-410	RBN011364-002	Delta.1um	7.93957458148415
KE-39	RBN010061-002	Delta.1um	17.3040254323183
KE-39	RBN011364-002	Delta.1um	42.066307222949
KNS-62	RBN010061-002	Delta.1um	2.77484062394251e-07
KNS-62	RBN011364-002	Delta.1um	20.1397006579274
KPL-1	RBN010061-002	Delta.1um	56.3403478606743
KPL-1	RBN011364-002	Delta.1um	13.1621124487089
SCC-25	RBN010061-002	Delta.1um	24.134192352829
SCC-25	RBN011364-002	Delta.1um	71.2481055919813
NCI-H1869	RBN010061-002	Delta.1um	4.10494698311531
NCI-H1869	RBN011364-002	Delta.1um	52.1491038364992
TE-5	RBN010061-002	Delta.1um	15.4549059861676
TE-5	RBN011364-002	Delta.1um	3.82422265795269
SNU-719	RBN010061-002	Delta.1um	36.1608482861836
SNU-719	RBN011364-002	Delta.1um	49.7042223997143
NCI-H358	RBN010061-002	Delta.1um	0.0124098786869666
NCI-H358	RBN011364-002	Delta.1um	23.7491698136626
TYK-nu	RBN010061-002	Delta.1um	13.3404022856571
TYK-nu	RBN011364-002	Delta.1um	77.0567235454766
NCI-H1703	RBN010061-002	Delta.1um	8.44990730388403
NCI-H1703	RBN011364-002	Delta.1um	21.9207162863078
CAL-33	RBN010061-002	Delta.1um	7.35977752411279
CAL-33	RBN011364-002	Delta.1um	21.8524231114622
NCI-H1373	RBN010061-002	Delta.1um	0.093348659390756
NCI-H1373	RBN011364-002	Delta.1um	39.557292881008
TGBC11TKB	RBN010061-002	Delta.1um	42.3706567596328
TGBC11TKB	RBN011364-002	Delta.1um	50.1540644145488
JIMT-1	RBN010061-002	Delta.1um	18.0463963080623
JIMT-1	RBN011364-002	Delta.1um	21.4766978375514
YMB-1	RBN010061-002	Delta.1um	20.6490571495653
YMB-1	RBN011364-002	Delta.1um	0.329508016811914
KYSE-520	RBN010061-002	Delta.1um	2.38616202352659e-06
KYSE-520	RBN011364-002	Delta.1um	32.9053156234129
KYSE-70	RBN010061-002	Delta.1um	2.57534662750913e-06
KYSE-70	RBN011364-002	Delta.1um	12.077328011444
LS-123	RBN010061-002	dose.response	TRUE
LS-123	RBN011364-002	dose.response	TRUE
EBC-1	RBN010061-002	dose.response	TRUE
EBC-1	RBN011364-002	dose.response	TRUE
T3M-10	RBN010061-002	dose.response	TRUE
T3M-10	RBN011364-002	dose.response	TRUE
SNU-175	RBN010061-002	dose.response	TRUE
SNU-175	RBN011364-002	dose.response	TRUE
A253	RBN010061-002	dose.response	TRUE
A253	RBN011364-002	dose.response	TRUE
A549	RBN010061-002	dose.response	TRUE
A549	RBN011364-002	dose.response	FALSE
KYSE-270	RBN010061-002	dose.response	TRUE
KYSE-270	RBN011364-002	dose.response	TRUE
KYSE-450	RBN010061-002	dose.response	FALSE
KYSE-450	RBN011364-002	dose.response	TRUE
IM-95	RBN010061-002	dose.response	TRUE
IM-95	RBN011364-002	dose.response	TRUE
LoVo	RBN010061-002	dose.response	TRUE
LoVo	RBN011364-002	dose.response	TRUE
LCLC-103H	RBN010061-002	dose.response	TRUE
LCLC-103H	RBN011364-002	dose.response	TRUE
KNS-81	RBN010061-002	dose.response	TRUE
KNS-81	RBN011364-002	dose.response	TRUE
MDA-MB-436	RBN010061-002	dose.response	TRUE
MDA-MB-436	RBN011364-002	dose.response	TRUE
HCC1195	RBN010061-002	dose.response	TRUE
HCC1195	RBN011364-002	dose.response	TRUE
SNG-M	RBN010061-002	dose.response	TRUE
SNG-M	RBN011364-002	dose.response	TRUE
MDA-MB-231	RBN010061-002	dose.response	TRUE
MDA-MB-231	RBN011364-002	dose.response	TRUE
LK-2	RBN010061-002	dose.response	TRUE
LK-2	RBN011364-002	dose.response	TRUE
HCC2218	RBN010061-002	dose.response	TRUE
HCC2218	RBN011364-002	dose.response	TRUE
LC-1sq	RBN010061-002	dose.response	TRUE
LC-1sq	RBN011364-002	dose.response	TRUE
FaDu	RBN010061-002	dose.response	TRUE
FaDu	RBN011364-002	dose.response	TRUE
NCI-H596	RBN010061-002	dose.response	TRUE
NCI-H596	RBN011364-002	dose.response	TRUE
Caki-1	RBN010061-002	dose.response	TRUE
Caki-1	RBN011364-002	dose.response	TRUE
ACHN	RBN010061-002	dose.response	FALSE
ACHN	RBN011364-002	dose.response	TRUE
YD-8	RBN010061-002	dose.response	TRUE
YD-8	RBN011364-002	dose.response	TRUE
HCC1588	RBN010061-002	dose.response	TRUE
HCC1588	RBN011364-002	dose.response	TRUE
T47D	RBN010061-002	dose.response	TRUE
T47D	RBN011364-002	dose.response	TRUE
TE-8	RBN010061-002	dose.response	TRUE
TE-8	RBN011364-002	dose.response	TRUE
IA-LM	RBN010061-002	dose.response	TRUE
IA-LM	RBN011364-002	dose.response	TRUE
EN	RBN010061-002	dose.response	TRUE
EN	RBN011364-002	dose.response	TRUE
NCI-H1975	RBN010061-002	dose.response	TRUE
NCI-H1975	RBN011364-002	dose.response	TRUE
NCI-H1838	RBN010061-002	dose.response	TRUE
NCI-H1838	RBN011364-002	dose.response	TRUE
HCC-44	RBN010061-002	dose.response	TRUE
HCC-44	RBN011364-002	dose.response	TRUE
HCC1187	RBN010061-002	dose.response	TRUE
HCC1187	RBN011364-002	dose.response	TRUE
YH-13	RBN010061-002	dose.response	TRUE
YH-13	RBN011364-002	dose.response	TRUE
HCC38	RBN010061-002	dose.response	TRUE
HCC38	RBN011364-002	dose.response	TRUE
SNU-1033	RBN010061-002	dose.response	TRUE
SNU-1033	RBN011364-002	dose.response	TRUE
Calu-1	RBN010061-002	dose.response	TRUE
Calu-1	RBN011364-002	dose.response	TRUE
PE-CA-PJ15	RBN010061-002	dose.response	TRUE
PE-CA-PJ15	RBN011364-002	dose.response	TRUE
BHY	RBN010061-002	dose.response	TRUE
BHY	RBN011364-002	dose.response	TRUE
MDA-MB-468	RBN010061-002	dose.response	TRUE
MDA-MB-468	RBN011364-002	dose.response	TRUE
CCK-81	RBN010061-002	dose.response	TRUE
CCK-81	RBN011364-002	dose.response	TRUE
HCC2279	RBN010061-002	dose.response	TRUE
HCC2279	RBN011364-002	dose.response	TRUE
HCC1599	RBN010061-002	dose.response	TRUE
HCC1599	RBN011364-002	dose.response	TRUE
COLO-680N	RBN010061-002	dose.response	TRUE
COLO-680N	RBN011364-002	dose.response	TRUE
SK-BR-3	RBN010061-002	dose.response	TRUE
SK-BR-3	RBN011364-002	dose.response	TRUE
NCI-H810	RBN010061-002	dose.response	TRUE
NCI-H810	RBN011364-002	dose.response	TRUE
Hs-578-T	RBN010061-002	dose.response	TRUE
Hs-578-T	RBN011364-002	dose.response	TRUE
KURAMOCHI	RBN010061-002	dose.response	TRUE
KURAMOCHI	RBN011364-002	dose.response	TRUE
SNU-81	RBN010061-002	dose.response	TRUE
SNU-81	RBN011364-002	dose.response	TRUE
SNU-C4	RBN010061-002	dose.response	TRUE
SNU-C4	RBN011364-002	dose.response	TRUE
Detroit562	RBN010061-002	dose.response	TRUE
Detroit562	RBN011364-002	dose.response	TRUE
NUGC-4	RBN010061-002	dose.response	TRUE
NUGC-4	RBN011364-002	dose.response	TRUE
KYSE-30	RBN010061-002	dose.response	TRUE
KYSE-30	RBN011364-002	dose.response	TRUE
OV7	RBN010061-002	dose.response	TRUE
OV7	RBN011364-002	dose.response	TRUE
RCM-1	RBN010061-002	dose.response	TRUE
RCM-1	RBN011364-002	dose.response	TRUE
HT-29	RBN010061-002	dose.response	TRUE
HT-29	RBN011364-002	dose.response	TRUE
SW48	RBN010061-002	dose.response	TRUE
SW48	RBN011364-002	dose.response	TRUE
JHOS-2	RBN010061-002	dose.response	TRUE
JHOS-2	RBN011364-002	dose.response	TRUE
OVCAR-8	RBN010061-002	dose.response	TRUE
OVCAR-8	RBN011364-002	dose.response	TRUE
OVISE	RBN010061-002	dose.response	TRUE
OVISE	RBN011364-002	dose.response	TRUE
JHOS-4	RBN010061-002	dose.response	TRUE
JHOS-4	RBN011364-002	dose.response	TRUE
HARA	RBN010061-002	dose.response	TRUE
HARA	RBN011364-002	dose.response	TRUE
SW620	RBN010061-002	dose.response	TRUE
SW620	RBN011364-002	dose.response	TRUE
RKN	RBN010061-002	dose.response	TRUE
RKN	RBN011364-002	dose.response	TRUE
SH-10-TC	RBN010061-002	dose.response	TRUE
SH-10-TC	RBN011364-002	dose.response	TRUE
TOV-21G	RBN010061-002	dose.response	TRUE
TOV-21G	RBN011364-002	dose.response	TRUE
YD-10B	RBN010061-002	dose.response	TRUE
YD-10B	RBN011364-002	dose.response	TRUE
LUDLU-1	RBN010061-002	dose.response	TRUE
LUDLU-1	RBN011364-002	dose.response	TRUE
NCI-H2023	RBN010061-002	dose.response	TRUE
NCI-H2023	RBN011364-002	dose.response	TRUE
HCC70	RBN010061-002	dose.response	TRUE
HCC70	RBN011364-002	dose.response	TRUE
SW900	RBN010061-002	dose.response	TRUE
SW900	RBN011364-002	dose.response	TRUE
RERF-LC-AI	RBN010061-002	dose.response	TRUE
RERF-LC-AI	RBN011364-002	dose.response	TRUE
HCC1143	RBN010061-002	dose.response	TRUE
HCC1143	RBN011364-002	dose.response	TRUE
NCI-H520	RBN010061-002	dose.response	TRUE
NCI-H520	RBN011364-002	dose.response	FALSE
YD-38	RBN010061-002	dose.response	TRUE
YD-38	RBN011364-002	dose.response	TRUE
SK-OV-3	RBN010061-002	dose.response	TRUE
SK-OV-3	RBN011364-002	dose.response	TRUE
SNU-620	RBN010061-002	dose.response	TRUE
SNU-620	RBN011364-002	dose.response	TRUE
EFE-184	RBN010061-002	dose.response	TRUE
EFE-184	RBN011364-002	dose.response	TRUE
EFO-27	RBN010061-002	dose.response	FALSE
EFO-27	RBN011364-002	dose.response	TRUE
EVSA-T	RBN010061-002	dose.response	TRUE
EVSA-T	RBN011364-002	dose.response	TRUE
HCT-116	RBN010061-002	dose.response	TRUE
HCT-116	RBN011364-002	dose.response	TRUE
HEC-1-B	RBN010061-002	dose.response	TRUE
HEC-1-B	RBN011364-002	dose.response	TRUE
LXF-289	RBN010061-002	dose.response	FALSE
LXF-289	RBN011364-002	dose.response	TRUE
HDQ-P1	RBN010061-002	dose.response	TRUE
HDQ-P1	RBN011364-002	dose.response	TRUE
U-87 MG	RBN010061-002	dose.response	TRUE
U-87 MG	RBN011364-002	dose.response	TRUE
DBTRG-05MG	RBN010061-002	dose.response	TRUE
DBTRG-05MG	RBN011364-002	dose.response	TRUE
HCC-15	RBN010061-002	dose.response	TRUE
HCC-15	RBN011364-002	dose.response	TRUE
NCI-H1437	RBN010061-002	dose.response	TRUE
NCI-H1437	RBN011364-002	dose.response	TRUE
NCI-H647	RBN010061-002	dose.response	TRUE
NCI-H647	RBN011364-002	dose.response	TRUE
LOU-NH91	RBN010061-002	dose.response	FALSE
LOU-NH91	RBN011364-002	dose.response	TRUE
CAL-27	RBN010061-002	dose.response	TRUE
CAL-27	RBN011364-002	dose.response	TRUE
LCLC-97TM1	RBN010061-002	dose.response	TRUE
LCLC-97TM1	RBN011364-002	dose.response	TRUE
GSS	RBN010061-002	dose.response	TRUE
GSS	RBN011364-002	dose.response	TRUE
HCC1937	RBN010061-002	dose.response	TRUE
HCC1937	RBN011364-002	dose.response	TRUE
OV56	RBN010061-002	dose.response	FALSE
OV56	RBN011364-002	dose.response	TRUE
HSC-4	RBN010061-002	dose.response	TRUE
HSC-4	RBN011364-002	dose.response	TRUE
CL-11	RBN010061-002	dose.response	TRUE
CL-11	RBN011364-002	dose.response	TRUE
SW480	RBN010061-002	dose.response	TRUE
SW480	RBN011364-002	dose.response	TRUE
NCI-H2170	RBN010061-002	dose.response	TRUE
NCI-H2170	RBN011364-002	dose.response	TRUE
TE-6	RBN010061-002	dose.response	TRUE
TE-6	RBN011364-002	dose.response	TRUE
HCC95	RBN010061-002	dose.response	TRUE
HCC95	RBN011364-002	dose.response	TRUE
MDA-MB-175-VII	RBN010061-002	dose.response	TRUE
MDA-MB-175-VII	RBN011364-002	dose.response	TRUE
NCI-H522	RBN010061-002	dose.response	TRUE
NCI-H522	RBN011364-002	dose.response	TRUE
HCC2108	RBN010061-002	dose.response	TRUE
HCC2108	RBN011364-002	dose.response	TRUE
TE-10	RBN010061-002	dose.response	TRUE
TE-10	RBN011364-002	dose.response	TRUE
ZR-75-30	RBN010061-002	dose.response	FALSE
ZR-75-30	RBN011364-002	dose.response	TRUE
GSU	RBN010061-002	dose.response	TRUE
GSU	RBN011364-002	dose.response	TRUE
KYSE-410	RBN010061-002	dose.response	TRUE
KYSE-410	RBN011364-002	dose.response	TRUE
KE-39	RBN010061-002	dose.response	TRUE
KE-39	RBN011364-002	dose.response	TRUE
KNS-62	RBN010061-002	dose.response	TRUE
KNS-62	RBN011364-002	dose.response	TRUE
KPL-1	RBN010061-002	dose.response	TRUE
KPL-1	RBN011364-002	dose.response	TRUE
SCC-25	RBN010061-002	dose.response	TRUE
SCC-25	RBN011364-002	dose.response	TRUE
NCI-H1869	RBN010061-002	dose.response	TRUE
NCI-H1869	RBN011364-002	dose.response	TRUE
TE-5	RBN010061-002	dose.response	TRUE
TE-5	RBN011364-002	dose.response	TRUE
SNU-719	RBN010061-002	dose.response	TRUE
SNU-719	RBN011364-002	dose.response	TRUE
NCI-H358	RBN010061-002	dose.response	TRUE
NCI-H358	RBN011364-002	dose.response	TRUE
TYK-nu	RBN010061-002	dose.response	TRUE
TYK-nu	RBN011364-002	dose.response	TRUE
NCI-H1703	RBN010061-002	dose.response	TRUE
NCI-H1703	RBN011364-002	dose.response	TRUE
CAL-33	RBN010061-002	dose.response	TRUE
CAL-33	RBN011364-002	dose.response	TRUE
NCI-H1373	RBN010061-002	dose.response	TRUE
NCI-H1373	RBN011364-002	dose.response	TRUE
TGBC11TKB	RBN010061-002	dose.response	TRUE
TGBC11TKB	RBN011364-002	dose.response	TRUE
JIMT-1	RBN010061-002	dose.response	TRUE
JIMT-1	RBN011364-002	dose.response	TRUE
YMB-1	RBN010061-002	dose.response	TRUE
YMB-1	RBN011364-002	dose.response	TRUE
KYSE-520	RBN010061-002	dose.response	TRUE
KYSE-520	RBN011364-002	dose.response	TRUE
KYSE-70	RBN010061-002	dose.response	TRUE
KYSE-70	RBN011364-002	dose.response	TRUE
LS-123	RBN010061-002	fit.type	curve.fit
LS-123	RBN011364-002	fit.type	curve.fit
EBC-1	RBN010061-002	fit.type	robust.fit
EBC-1	RBN011364-002	fit.type	curve.fit
T3M-10	RBN010061-002	fit.type	robust.fit
T3M-10	RBN011364-002	fit.type	curve.fit
SNU-175	RBN010061-002	fit.type	robust.fit
SNU-175	RBN011364-002	fit.type	robust.fit
A253	RBN010061-002	fit.type	robust.fit
A253	RBN011364-002	fit.type	curve.fit
A549	RBN010061-002	fit.type	robust.fit
A549	RBN011364-002	fit.type	linear
KYSE-270	RBN010061-002	fit.type	curve.fit
KYSE-270	RBN011364-002	fit.type	curve.fit
KYSE-450	RBN010061-002	fit.type	linear
KYSE-450	RBN011364-002	fit.type	robust.fit
IM-95	RBN010061-002	fit.type	curve.fit
IM-95	RBN011364-002	fit.type	curve.fit
LoVo	RBN010061-002	fit.type	curve.fit
LoVo	RBN011364-002	fit.type	robust.fit
LCLC-103H	RBN010061-002	fit.type	robust.fit
LCLC-103H	RBN011364-002	fit.type	curve.fit
KNS-81	RBN010061-002	fit.type	curve.fit
KNS-81	RBN011364-002	fit.type	curve.fit
MDA-MB-436	RBN010061-002	fit.type	curve.fit
MDA-MB-436	RBN011364-002	fit.type	curve.fit
HCC1195	RBN010061-002	fit.type	robust.fit
HCC1195	RBN011364-002	fit.type	curve.fit
SNG-M	RBN010061-002	fit.type	robust.fit
SNG-M	RBN011364-002	fit.type	robust.fit
MDA-MB-231	RBN010061-002	fit.type	robust.fit
MDA-MB-231	RBN011364-002	fit.type	curve.fit
LK-2	RBN010061-002	fit.type	curve.fit
LK-2	RBN011364-002	fit.type	curve.fit
HCC2218	RBN010061-002	fit.type	curve.fit
HCC2218	RBN011364-002	fit.type	robust.fit
LC-1sq	RBN010061-002	fit.type	robust.fit
LC-1sq	RBN011364-002	fit.type	robust.fit
FaDu	RBN010061-002	fit.type	curve.fit
FaDu	RBN011364-002	fit.type	curve.fit
NCI-H596	RBN010061-002	fit.type	robust.fit
NCI-H596	RBN011364-002	fit.type	curve.fit
Caki-1	RBN010061-002	fit.type	robust.fit
Caki-1	RBN011364-002	fit.type	curve.fit
ACHN	RBN010061-002	fit.type	linear
ACHN	RBN011364-002	fit.type	curve.fit
YD-8	RBN010061-002	fit.type	robust.fit
YD-8	RBN011364-002	fit.type	robust.fit
HCC1588	RBN010061-002	fit.type	robust.fit
HCC1588	RBN011364-002	fit.type	robust.fit
T47D	RBN010061-002	fit.type	curve.fit
T47D	RBN011364-002	fit.type	curve.fit
TE-8	RBN010061-002	fit.type	robust.fit
TE-8	RBN011364-002	fit.type	curve.fit
IA-LM	RBN010061-002	fit.type	robust.fit
IA-LM	RBN011364-002	fit.type	curve.fit
EN	RBN010061-002	fit.type	curve.fit
EN	RBN011364-002	fit.type	robust.fit
NCI-H1975	RBN010061-002	fit.type	robust.fit
NCI-H1975	RBN011364-002	fit.type	curve.fit
NCI-H1838	RBN010061-002	fit.type	robust.fit
NCI-H1838	RBN011364-002	fit.type	curve.fit
HCC-44	RBN010061-002	fit.type	robust.fit
HCC-44	RBN011364-002	fit.type	curve.fit
HCC1187	RBN010061-002	fit.type	robust.fit
HCC1187	RBN011364-002	fit.type	robust.fit
YH-13	RBN010061-002	fit.type	robust.fit
YH-13	RBN011364-002	fit.type	curve.fit
HCC38	RBN010061-002	fit.type	curve.fit
HCC38	RBN011364-002	fit.type	robust.fit
SNU-1033	RBN010061-002	fit.type	robust.fit
SNU-1033	RBN011364-002	fit.type	robust.fit
Calu-1	RBN010061-002	fit.type	robust.fit
Calu-1	RBN011364-002	fit.type	curve.fit
PE-CA-PJ15	RBN010061-002	fit.type	robust.fit
PE-CA-PJ15	RBN011364-002	fit.type	curve.fit
BHY	RBN010061-002	fit.type	curve.fit
BHY	RBN011364-002	fit.type	curve.fit
MDA-MB-468	RBN010061-002	fit.type	curve.fit
MDA-MB-468	RBN011364-002	fit.type	robust.fit
CCK-81	RBN010061-002	fit.type	robust.fit
CCK-81	RBN011364-002	fit.type	curve.fit
HCC2279	RBN010061-002	fit.type	robust.fit
HCC2279	RBN011364-002	fit.type	robust.fit
HCC1599	RBN010061-002	fit.type	robust.fit
HCC1599	RBN011364-002	fit.type	robust.fit
COLO-680N	RBN010061-002	fit.type	robust.fit
COLO-680N	RBN011364-002	fit.type	curve.fit
SK-BR-3	RBN010061-002	fit.type	robust.fit
SK-BR-3	RBN011364-002	fit.type	robust.fit
NCI-H810	RBN010061-002	fit.type	curve.fit
NCI-H810	RBN011364-002	fit.type	curve.fit
Hs-578-T	RBN010061-002	fit.type	robust.fit
Hs-578-T	RBN011364-002	fit.type	curve.fit
KURAMOCHI	RBN010061-002	fit.type	curve.fit
KURAMOCHI	RBN011364-002	fit.type	robust.fit
SNU-81	RBN010061-002	fit.type	robust.fit
SNU-81	RBN011364-002	fit.type	robust.fit
SNU-C4	RBN010061-002	fit.type	curve.fit
SNU-C4	RBN011364-002	fit.type	robust.fit
Detroit562	RBN010061-002	fit.type	robust.fit
Detroit562	RBN011364-002	fit.type	curve.fit
NUGC-4	RBN010061-002	fit.type	robust.fit
NUGC-4	RBN011364-002	fit.type	robust.fit
KYSE-30	RBN010061-002	fit.type	robust.fit
KYSE-30	RBN011364-002	fit.type	curve.fit
OV7	RBN010061-002	fit.type	curve.fit
OV7	RBN011364-002	fit.type	curve.fit
RCM-1	RBN010061-002	fit.type	robust.fit
RCM-1	RBN011364-002	fit.type	curve.fit
HT-29	RBN010061-002	fit.type	curve.fit
HT-29	RBN011364-002	fit.type	robust.fit
SW48	RBN010061-002	fit.type	robust.fit
SW48	RBN011364-002	fit.type	curve.fit
JHOS-2	RBN010061-002	fit.type	robust.fit
JHOS-2	RBN011364-002	fit.type	curve.fit
OVCAR-8	RBN010061-002	fit.type	curve.fit
OVCAR-8	RBN011364-002	fit.type	curve.fit
OVISE	RBN010061-002	fit.type	curve.fit
OVISE	RBN011364-002	fit.type	curve.fit
JHOS-4	RBN010061-002	fit.type	curve.fit
JHOS-4	RBN011364-002	fit.type	robust.fit
HARA	RBN010061-002	fit.type	robust.fit
HARA	RBN011364-002	fit.type	robust.fit
SW620	RBN010061-002	fit.type	curve.fit
SW620	RBN011364-002	fit.type	curve.fit
RKN	RBN010061-002	fit.type	robust.fit
RKN	RBN011364-002	fit.type	robust.fit
SH-10-TC	RBN010061-002	fit.type	robust.fit
SH-10-TC	RBN011364-002	fit.type	robust.fit
TOV-21G	RBN010061-002	fit.type	curve.fit
TOV-21G	RBN011364-002	fit.type	robust.fit
YD-10B	RBN010061-002	fit.type	curve.fit
YD-10B	RBN011364-002	fit.type	curve.fit
LUDLU-1	RBN010061-002	fit.type	robust.fit
LUDLU-1	RBN011364-002	fit.type	curve.fit
NCI-H2023	RBN010061-002	fit.type	robust.fit
NCI-H2023	RBN011364-002	fit.type	curve.fit
HCC70	RBN010061-002	fit.type	curve.fit
HCC70	RBN011364-002	fit.type	robust.fit
SW900	RBN010061-002	fit.type	robust.fit
SW900	RBN011364-002	fit.type	curve.fit
RERF-LC-AI	RBN010061-002	fit.type	robust.fit
RERF-LC-AI	RBN011364-002	fit.type	curve.fit
HCC1143	RBN010061-002	fit.type	curve.fit
HCC1143	RBN011364-002	fit.type	robust.fit
NCI-H520	RBN010061-002	fit.type	curve.fit
NCI-H520	RBN011364-002	fit.type	linear
YD-38	RBN010061-002	fit.type	robust.fit
YD-38	RBN011364-002	fit.type	curve.fit
SK-OV-3	RBN010061-002	fit.type	robust.fit
SK-OV-3	RBN011364-002	fit.type	robust.fit
SNU-620	RBN010061-002	fit.type	robust.fit
SNU-620	RBN011364-002	fit.type	curve.fit
EFE-184	RBN010061-002	fit.type	robust.fit
EFE-184	RBN011364-002	fit.type	curve.fit
EFO-27	RBN010061-002	fit.type	linear
EFO-27	RBN011364-002	fit.type	robust.fit
EVSA-T	RBN010061-002	fit.type	robust.fit
EVSA-T	RBN011364-002	fit.type	robust.fit
HCT-116	RBN010061-002	fit.type	curve.fit
HCT-116	RBN011364-002	fit.type	robust.fit
HEC-1-B	RBN010061-002	fit.type	curve.fit
HEC-1-B	RBN011364-002	fit.type	curve.fit
LXF-289	RBN010061-002	fit.type	linear
LXF-289	RBN011364-002	fit.type	curve.fit
HDQ-P1	RBN010061-002	fit.type	robust.fit
HDQ-P1	RBN011364-002	fit.type	curve.fit
U-87 MG	RBN010061-002	fit.type	robust.fit
U-87 MG	RBN011364-002	fit.type	curve.fit
DBTRG-05MG	RBN010061-002	fit.type	robust.fit
DBTRG-05MG	RBN011364-002	fit.type	robust.fit
HCC-15	RBN010061-002	fit.type	robust.fit
HCC-15	RBN011364-002	fit.type	curve.fit
NCI-H1437	RBN010061-002	fit.type	robust.fit
NCI-H1437	RBN011364-002	fit.type	curve.fit
NCI-H647	RBN010061-002	fit.type	curve.fit
NCI-H647	RBN011364-002	fit.type	curve.fit
LOU-NH91	RBN010061-002	fit.type	linear
LOU-NH91	RBN011364-002	fit.type	robust.fit
CAL-27	RBN010061-002	fit.type	curve.fit
CAL-27	RBN011364-002	fit.type	curve.fit
LCLC-97TM1	RBN010061-002	fit.type	robust.fit
LCLC-97TM1	RBN011364-002	fit.type	curve.fit
GSS	RBN010061-002	fit.type	robust.fit
GSS	RBN011364-002	fit.type	curve.fit
HCC1937	RBN010061-002	fit.type	robust.fit
HCC1937	RBN011364-002	fit.type	curve.fit
OV56	RBN010061-002	fit.type	linear
OV56	RBN011364-002	fit.type	robust.fit
HSC-4	RBN010061-002	fit.type	robust.fit
HSC-4	RBN011364-002	fit.type	robust.fit
CL-11	RBN010061-002	fit.type	curve.fit
CL-11	RBN011364-002	fit.type	robust.fit
SW480	RBN010061-002	fit.type	robust.fit
SW480	RBN011364-002	fit.type	curve.fit
NCI-H2170	RBN010061-002	fit.type	curve.fit
NCI-H2170	RBN011364-002	fit.type	robust.fit
TE-6	RBN010061-002	fit.type	curve.fit
TE-6	RBN011364-002	fit.type	robust.fit
HCC95	RBN010061-002	fit.type	curve.fit
HCC95	RBN011364-002	fit.type	curve.fit
MDA-MB-175-VII	RBN010061-002	fit.type	robust.fit
MDA-MB-175-VII	RBN011364-002	fit.type	robust.fit
NCI-H522	RBN010061-002	fit.type	curve.fit
NCI-H522	RBN011364-002	fit.type	robust.fit
HCC2108	RBN010061-002	fit.type	curve.fit
HCC2108	RBN011364-002	fit.type	robust.fit
TE-10	RBN010061-002	fit.type	robust.fit
TE-10	RBN011364-002	fit.type	robust.fit
ZR-75-30	RBN010061-002	fit.type	linear
ZR-75-30	RBN011364-002	fit.type	curve.fit
GSU	RBN010061-002	fit.type	curve.fit
GSU	RBN011364-002	fit.type	curve.fit
KYSE-410	RBN010061-002	fit.type	curve.fit
KYSE-410	RBN011364-002	fit.type	robust.fit
KE-39	RBN010061-002	fit.type	robust.fit
KE-39	RBN011364-002	fit.type	curve.fit
KNS-62	RBN010061-002	fit.type	robust.fit
KNS-62	RBN011364-002	fit.type	robust.fit
KPL-1	RBN010061-002	fit.type	curve.fit
KPL-1	RBN011364-002	fit.type	robust.fit
SCC-25	RBN010061-002	fit.type	curve.fit
SCC-25	RBN011364-002	fit.type	curve.fit
NCI-H1869	RBN010061-002	fit.type	curve.fit
NCI-H1869	RBN011364-002	fit.type	curve.fit
TE-5	RBN010061-002	fit.type	curve.fit
TE-5	RBN011364-002	fit.type	curve.fit
SNU-719	RBN010061-002	fit.type	robust.fit
SNU-719	RBN011364-002	fit.type	robust.fit
NCI-H358	RBN010061-002	fit.type	robust.fit
NCI-H358	RBN011364-002	fit.type	curve.fit
TYK-nu	RBN010061-002	fit.type	curve.fit
TYK-nu	RBN011364-002	fit.type	curve.fit
NCI-H1703	RBN010061-002	fit.type	robust.fit
NCI-H1703	RBN011364-002	fit.type	curve.fit
CAL-33	RBN010061-002	fit.type	robust.fit
CAL-33	RBN011364-002	fit.type	curve.fit
NCI-H1373	RBN010061-002	fit.type	robust.fit
NCI-H1373	RBN011364-002	fit.type	curve.fit
